"On a scale from 1 to 10, how do you estimate your programming experience?",How do you estimate your programming experience compared to your classmates?,How experienced are you with the following language: Python?,How experienced are you with the following language: Jayvee?,How experienced are you with: Data engineering?,Group,isExit,student_id_anon,semester
7,3,4,1,4,B,False,14,ss23
5,3,3,1,2,B,False,19,ss23
8,5,3,1,1,B,False,4,ss23
7,3,4,1,1,B,False,16,ss23
9,5,5,1,4,B,False,26,ss23
8,4,4,1,3,B,False,17,ss23
7,3,4,1,1,B,False,8,ss23
7,3,4,1,2,B,False,24,ss23
8,3,4,1,2,B,False,7,ss23
7,3,4,2,2,A,False,49,ss23
8,3,4,1,2,A,False,46,ss23
6,3,4,1,2,B,False,32,ss23
7,4,4,1,4,B,False,33,ss23
7,3,3,1,2,A,False,39,ss23
7,4,4,1,1,B,False,21,ss23
7,3,4,1,2,A,False,35,ss23
10,4,3,1,2,A,False,53,ss23
7,5,4,1,1,A,False,67,ss23
7,4,3,1,2,B,False,15,ss23
5,3,3,1,2,A,False,47,ss23
7,3,4,1,2,A,False,59,ss23
6,3,3,1,1,A,False,42,ss23
2,2,3,1,1,A,False,43,ss23
8,3,5,1,1,A,False,66,ss23
7,3,4,1,3,B,False,22,ss23
4,2,3,1,3,B,False,12,ss23
10,5,5,2,3,B,False,27,ss23
6,3,3,1,2,B,False,31,ss23
6,2,3,1,3,A,False,45,ss23
9,4,5,1,3,B,False,34,ss23
7,3,4,1,3,B,False,30,ss23
4,2,3,1,2,B,False,29,ss23
9,4,5,1,4,B,False,3,ss23
6,3,2,1,1,A,False,57,ss23
10,5,4,1,4,B,False,20,ss23
8,3,4,1,3,A,False,50,ss23
7,3,4,2,3,B,False,5,ss23
7,2,3,1,1,B,False,18,ss23
7,3,4,1,3,A,False,51,ss23
7,3,2,1,3,B,False,0,ss23
9,3,4,1,3,B,False,10,ss23
6,3,4,1,2,A,False,63,ss23
2,1,2,1,1,B,False,9,ss23
4,2,4,1,2,A,False,65,ss23
8,4,5,1,4,B,False,6,ss23
2,2,2,1,3,A,False,64,ss23
3,1,3,1,1,B,False,13,ss23
6,3,3,1,2,B,False,11,ss23
5,2,3,1,2,A,False,41,ss23
6,3,4,1,2,B,False,28,ss23
6,3,3,2,3,A,False,48,ss23
8,4,4,1,1,A,False,36,ss23
8,4,3,1,2,A,False,56,ss23
5,3,3,1,1,B,False,25,ss23
8,3,4,1,2,A,False,37,ss23
9,3,4,1,1,A,False,52,ss23
6,3,3,1,3,A,False,40,ss23
9,3,4,1,3,A,False,61,ss23
6,3,3,1,2,B,False,2,ss23
7,2,4,1,3,B,False,23,ss23
2,1,1,1,1,B,False,1,ss23
7,3,2,1,3,A,False,55,ss23
7,4,4,1,3,A,False,38,ss23
3,1,4,1,2,A,False,54,ss23
6,2,2,1,2,A,False,58,ss23
8,4,4,1,2,A,False,62,ss23
8,1,5,1,4,A,False,60,ss23
5,3,3,1,3,A,False,44,ss23
8,4,4,3,4,A,True,44,ss23
5,3,4,2,3,B,True,29,ss23
7,3,4,1,4,B,True,30,ss23
7,3,3,3,4,A,True,48,ss23
5,2,2,2,1,A,True,39,ss23
9,4,4,4,4,A,True,42,ss23
7,4,4,3,4,B,True,6,ss23
9,5,5,4,4,B,True,27,ss23
8,3,4,2,4,B,True,19,ss23
6,4,4,4,4,B,True,14,ss23
7,3,4,3,4,A,True,38,ss23
6,2,4,4,3,A,True,47,ss23
8,3,4,3,3,B,True,18,ss23
7,3,4,4,4,A,True,65,ss23
8,4,3,3,3,A,True,49,ss23
9,4,5,3,4,A,True,46,ss23
10,5,3,2,3,B,True,20,ss23
7,4,4,3,3,A,True,67,ss23
8,4,5,3,4,A,True,59,ss23
7,4,4,3,4,B,True,25,ss23
10,4,5,2,5,B,True,3,ss23
9,5,5,5,5,A,True,58,ss23
6,3,3,1,1,B,True,22,ss23
7,3,2,4,3,A,True,57,ss23
6,3,4,3,3,B,True,16,ss23
8,4,5,3,3,B,True,5,ss23
6,3,3,2,2,A,True,43,ss23
7,3,4,2,3,B,True,31,ss23
6,3,3,3,3,A,True,41,ss23
8,4,4,3,4,A,True,45,ss23
2,1,2,2,2,B,True,9,ss23
8,4,4,3,4,A,True,61,ss23
5,2,2,4,4,B,True,11,ss23
4,2,3,3,3,B,True,12,ss23
5,3,4,3,3,B,True,13,ss23
9,4,4,3,4,A,True,50,ss23
9,4,5,4,4,A,True,36,ss23
7,3,4,4,3,A,True,63,ss23
7,3,3,1,1,B,True,21,ss23
8,4,4,3,4,A,True,56,ss23
6,2,3,2,3,B,True,10,ss23
9,4,4,4,4,A,True,53,ss23
8,4,4,2,4,A,True,51,ss23
8,3,4,5,4,B,True,2,ss23
5,1,5,1,3,A,True,60,ss23
6,3,4,3,3,B,True,8,ss23
8,3,4,2,3,B,True,7,ss23
10,4,5,4,5,B,True,34,ss23
8,4,4,1,3,A,True,52,ss23
7,3,4,3,3,A,True,37,ss23
7,3,3,2,2,B,True,0,ss23
8,3,5,4,4,A,True,66,ss23
6,3,3,1,3,B,False,2,ws2324
6,3,3,2,3,A,False,95,ws2324
10,5,5,1,1,A,False,106,ws2324
9,4,4,1,3,B,False,31,ws2324
8,4,4,2,3,B,False,1,ws2324
8,4,4,2,4,A,False,146,ws2324
7,3,3,1,1,A,False,148,ws2324
8,4,4,2,4,B,False,27,ws2324
3,2,2,1,2,B,False,9,ws2324
7,4,4,1,3,A,False,92,ws2324
10,4,5,1,4,A,False,81,ws2324
10,5,5,1,5,B,False,75,ws2324
8,4,4,4,3,A,False,140,ws2324
10,5,5,1,4,B,False,64,ws2324
8,3,4,1,2,B,False,32,ws2324
5,3,3,1,3,B,False,26,ws2324
8,4,4,1,3,A,False,130,ws2324
8,4,4,1,4,A,False,83,ws2324
10,5,5,1,4,B,False,44,ws2324
10,5,5,1,4,B,False,36,ws2324
5,3,3,3,3,A,False,84,ws2324
8,4,5,1,3,B,False,21,ws2324
9,5,4,1,4,A,False,118,ws2324
6,3,3,1,2,A,False,108,ws2324
7,3,4,1,2,A,False,121,ws2324
6,3,3,3,3,A,False,109,ws2324
6,3,3,1,2,A,False,152,ws2324
8,4,5,1,3,B,False,68,ws2324
8,5,5,1,4,A,False,100,ws2324
8,4,2,1,2,A,False,112,ws2324
9,5,5,2,4,A,False,128,ws2324
8,4,4,1,5,B,False,22,ws2324
6,4,4,1,4,A,False,103,ws2324
7,4,4,1,3,A,False,78,ws2324
7,4,3,1,2,A,False,136,ws2324
8,3,4,1,2,B,False,25,ws2324
9,4,5,4,5,A,False,138,ws2324
6,2,2,1,2,A,False,149,ws2324
7,4,4,1,4,A,False,131,ws2324
6,3,3,1,4,B,False,77,ws2324
7,3,3,1,3,A,False,145,ws2324
7,3,4,1,2,B,False,50,ws2324
9,4,3,2,2,B,False,11,ws2324
8,3,2,1,2,B,False,58,ws2324
8,4,5,1,2,B,False,42,ws2324
5,3,4,1,3,B,False,41,ws2324
7,4,3,1,2,B,False,15,ws2324
1,1,2,1,1,B,False,0,ws2324
8,5,4,1,4,B,False,46,ws2324
7,3,4,1,4,B,False,38,ws2324
7,3,4,1,3,A,False,153,ws2324
7,4,4,1,3,B,False,5,ws2324
6,3,2,1,1,B,False,16,ws2324
6,3,4,1,3,A,False,137,ws2324
7,3,4,1,2,A,False,96,ws2324
10,4,5,1,3,A,False,90,ws2324
7,3,4,1,3,B,False,12,ws2324
5,3,2,1,1,B,False,17,ws2324
9,3,2,1,3,A,False,135,ws2324
8,3,3,1,1,B,False,14,ws2324
8,4,3,1,2,B,False,7,ws2324
6,3,3,1,2,A,False,134,ws2324
8,4,4,1,4,A,False,104,ws2324
6,3,4,1,2,B,False,19,ws2324
7,3,4,1,2,A,False,101,ws2324
7,3,3,1,2,A,False,120,ws2324
6,3,3,1,1,B,False,76,ws2324
5,2,3,1,3,A,False,97,ws2324
10,4,4,1,3,B,False,8,ws2324
7,3,3,1,3,A,False,99,ws2324
9,4,4,1,3,A,False,113,ws2324
6,3,3,1,2,A,False,144,ws2324
10,5,5,2,4,B,False,65,ws2324
4,3,3,1,2,B,False,30,ws2324
7,4,3,1,4,B,False,74,ws2324
6,3,4,1,3,A,False,151,ws2324
8,4,4,1,4,A,False,133,ws2324
8,4,5,1,2,B,False,18,ws2324
7,4,4,1,3,A,False,91,ws2324
7,3,4,1,3,B,False,20,ws2324
5,2,3,1,2,A,False,105,ws2324
8,3,5,1,4,B,False,4,ws2324
6,3,4,1,3,A,False,141,ws2324
7,3,4,1,3,A,False,125,ws2324
8,4,4,1,3,A,False,119,ws2324
5,3,3,1,3,B,False,43,ws2324
6,3,3,1,2,A,False,79,ws2324
6,3,3,1,3,B,False,47,ws2324
9,4,4,1,4,B,False,29,ws2324
