"id","submitdate","lastpage","startlanguage","seed","P1","P2","E1","E2","E3","F1","F2"
"1","1980-01-01 00:00:00","1","en","904540347","A2","A1","0.2","A2","A3","nothing",""
"2","1980-01-01 00:00:00","1","de","1266395247","A2","A1","0.5","A3","A3","",""
"3","1980-01-01 00:00:00","1","en","1921513512","A1","A1","3","A4","A2","I got problems with the automatic feedback:  Can not find expected output file: airports.sqlite. Make sure your model generates it correctly!

Maybe it was because I used unallowed libraries","sqlite, but unfortunately it was not allowed. So I refactored my code a lot to only use pandas and sqlalchemy"
"4","1980-01-01 00:00:00","1","en","279083440","A1","A1","1.5","A2","A2","Keine Probleme mit der Programmiersprache, aber falls ihr Feedback zur Aufgabenstellung wollt:
In der Aufgabenstellung heißt es, es soll der beste Datentyp ausgewählt werden für jede Spalte. Dies sollte bessere ausgedrückt werden, ob es sich hier um eine manuelle Aufgabe handeln sollte (die Daten einzeln durchgehen und den Datentyp ändern z.B. Integer anfangen und ggf. auf BIGINT updaten falls ein größerer Wert existiert) oder ob  - besonders weil man ja eigentlich über eine automatische Datenpipeline redet - dies während der Laufzeit passieren soll.","/"
"5","1980-01-01 00:00:00","1","de","1347000557","A1","A1","1","A2","A2","Keine.","Pandas."
"6","1980-01-01 00:00:00","1","de","1613954544","A2","A1","1.5","A3","A4","In der Dokumentation des TableInterpreters sind die Beispiele anders, als in den Folien -> [columnname] typed / oftype [type]
Ich habe erst nur in die Onlinedokumentation geschaut und mich gewundert warum ich einen Fehler angezeigt bekommen. Ich weiß nicht ob das vielleicht eine Versionssache ist, also das es sich mit der Zeit geändert hat (ich habe version 0.0.15 verwendet), dann bitte bei der Onlinedokumentation mit angeben auf welche Version der Sprache es sich bezieht","Die vscode Erweiterung war sehr hilfreich, auch wenn ich wegen dem oben genannten problem erst sehr verwirrt war und nicht wusste was ich falsch gemacht habe, evtl. Message mit einbinden wie ""Do you mean oftype instead of typed"" oder ähnliches"
"7","1980-01-01 00:00:00","1","en","690429861","A2","A1","2.5","A3","A3","None","None"
"9","1980-01-01 00:00:00","1","de","1732189994","A2","A1","1","A3","A4","","Wenn man die Pipeline ohne Debug-Flag aufruft, wird gar keine Information über aufgetretene Fehler ausgegeben. Ich hatte zwischenzeitlich das Problem, dass gar keine Daten in die Sqlite-Tabelle geschrieben wurden, weil beim Konvertieren der Tabelle der Datentyp einer Spalte fehlerhaft war. Ich habe den Fehler dann zwar schnell gefunden (auch ohne das Debug-Flag), aber der fehlende Output hat mir zuerst suggeriert, dass eigentlich alles in Ordnung ist. Eine kurze Meldung am Ende des Laufs (z.B. ""X errors occurred"") würde diesem Missverständnis vorbeugen.
"
"10","1980-01-01 00:00:00","1","de","763266141","A1","A1","3","A4","A3","Das programmieren der Aufgabe war nach der ersten Projektaufgabe sehr einfach und hätte nach meinen Erwartungen nur 20 Minuten gedauert. Ich musst bloß sehr viel Zeit investieren weil ich nicht mehr in der Lage war sqlite Dateien mit dem Befehl DataFrame.to_sql zu öffnen. Die Lösung dafür war das der angegebene Pfad aus einem anderen Startordner ausging. ","Mir hat die Angabe gefehlt das die sqlite Datei ins Hauptverzeichnis muss und nicht in den Exercise Ordner"
"11","1980-01-01 00:00:00","1","en","1253032135","A1","A1","5","A2","A4","","Python, Pandas and SqlLite"
