"On a scale from 1 to 10, how do you estimate your programming experience?",How do you estimate your programming experience compared to your classmates?,How experienced are you with the following language: Python?,How experienced are you with the following language: Jayvee?,How experienced are you with: Data engineering?,Group,isExit,student_id_anon
7,3,4,1,4,B,False,14
5,3,3,1,2,B,False,19
8,5,3,1,1,B,False,4
7,3,4,1,1,B,False,16
9,5,5,1,4,B,False,26
8,4,4,1,3,B,False,17
7,3,4,1,1,B,False,8
7,3,4,1,2,B,False,24
8,3,4,1,2,B,False,7
7,3,4,2,2,A,False,49
8,3,4,1,2,A,False,46
6,3,4,1,2,B,False,32
7,4,4,1,4,B,False,33
7,3,3,1,2,A,False,39
7,4,4,1,1,B,False,21
7,3,4,1,2,A,False,35
10,4,3,1,2,A,False,53
7,5,4,1,1,A,False,67
7,4,3,1,2,B,False,15
5,3,3,1,2,A,False,47
7,3,4,1,2,A,False,59
6,3,3,1,1,A,False,42
2,2,3,1,1,A,False,43
8,3,5,1,1,A,False,66
7,3,4,1,3,B,False,22
4,2,3,1,3,B,False,12
10,5,5,2,3,B,False,27
6,3,3,1,2,B,False,31
6,2,3,1,3,A,False,45
9,4,5,1,3,B,False,34
7,3,4,1,3,B,False,30
4,2,3,1,2,B,False,29
9,4,5,1,4,B,False,3
6,3,2,1,1,A,False,57
10,5,4,1,4,B,False,20
8,3,4,1,3,A,False,50
7,3,4,2,3,B,False,5
7,2,3,1,1,B,False,18
7,3,4,1,3,A,False,51
7,3,2,1,3,B,False,0
9,3,4,1,3,B,False,10
6,3,4,1,2,A,False,63
2,1,2,1,1,B,False,9
4,2,4,1,2,A,False,65
8,4,5,1,4,B,False,6
2,2,2,1,3,A,False,64
3,1,3,1,1,B,False,13
6,3,3,1,2,B,False,11
5,2,3,1,2,A,False,41
6,3,4,1,2,B,False,28
6,3,3,2,3,A,False,48
8,4,4,1,1,A,False,36
8,4,3,1,2,A,False,56
5,3,3,1,1,B,False,25
8,3,4,1,2,A,False,37
9,3,4,1,1,A,False,52
6,3,3,1,3,A,False,40
9,3,4,1,3,A,False,61
6,3,3,1,2,B,False,2
7,2,4,1,3,B,False,23
2,1,1,1,1,B,False,1
7,3,2,1,3,A,False,55
7,4,4,1,3,A,False,38
3,1,4,1,2,A,False,54
6,2,2,1,2,A,False,58
8,4,4,1,2,A,False,62
8,1,5,1,4,A,False,60
5,3,3,1,3,A,False,44
8,4,4,3,4,A,True,44
5,3,4,2,3,B,True,29
7,3,4,1,4,B,True,30
7,3,3,3,4,A,True,48
5,2,2,2,1,A,True,39
9,4,4,4,4,A,True,42
7,4,4,3,4,B,True,6
9,5,5,4,4,B,True,27
8,3,4,2,4,B,True,19
6,4,4,4,4,B,True,14
7,3,4,3,4,A,True,38
6,2,4,4,3,A,True,47
8,3,4,3,3,B,True,18
7,3,4,4,4,A,True,65
8,4,3,3,3,A,True,49
9,4,5,3,4,A,True,46
10,5,3,2,3,B,True,20
7,4,4,3,3,A,True,67
8,4,5,3,4,A,True,59
7,4,4,3,4,B,True,25
10,4,5,2,5,B,True,3
9,5,5,5,5,A,True,58
6,3,3,1,1,B,True,22
7,3,2,4,3,A,True,57
6,3,4,3,3,B,True,16
8,4,5,3,3,B,True,5
6,3,3,2,2,A,True,43
7,3,4,2,3,B,True,31
6,3,3,3,3,A,True,41
8,4,4,3,4,A,True,45
2,1,2,2,2,B,True,9
8,4,4,3,4,A,True,61
5,2,2,4,4,B,True,11
4,2,3,3,3,B,True,12
5,3,4,3,3,B,True,13
9,4,4,3,4,A,True,50
9,4,5,4,4,A,True,36
7,3,4,4,3,A,True,63
7,3,3,1,1,B,True,21
8,4,4,3,4,A,True,56
6,2,3,2,3,B,True,10
9,4,4,4,4,A,True,53
8,4,4,2,4,A,True,51
8,3,4,5,4,B,True,2
5,1,5,1,3,A,True,60
6,3,4,3,3,B,True,8
8,3,4,2,3,B,True,7
10,4,5,4,5,B,True,34
8,4,4,1,3,A,True,52
7,3,4,3,3,A,True,37
7,3,3,2,2,B,True,0
8,3,5,4,4,A,True,66
