"On a scale from 1 to 10, how do you estimate your programming experience?",How do you estimate your programming experience compared to your classmates?,How experienced are you with the following language: Python?,How experienced are you with the following language: Jayvee?,How experienced are you with: Data engineering?,Group,isExit,student_id_anon
6,3,3,1,3,B,False,2
6,3,3,2,3,A,False,95
10,5,5,1,1,A,False,106
9,4,4,1,3,B,False,31
8,4,4,2,3,B,False,1
8,4,4,2,4,A,False,146
7,3,3,1,1,A,False,148
8,4,4,2,4,B,False,27
3,2,2,1,2,B,False,9
7,4,4,1,3,A,False,92
10,4,5,1,4,A,False,81
10,5,5,1,5,B,False,75
8,4,4,4,3,A,False,140
10,5,5,1,4,B,False,64
8,3,4,1,2,B,False,32
5,3,3,1,3,B,False,26
8,4,4,1,3,A,False,130
8,4,4,1,4,A,False,83
10,5,5,1,4,B,False,44
10,5,5,1,4,B,False,36
5,3,3,3,3,A,False,84
8,4,5,1,3,B,False,21
9,5,4,1,4,A,False,118
6,3,3,1,2,A,False,108
7,3,4,1,2,A,False,121
6,3,3,3,3,A,False,109
6,3,3,1,2,A,False,152
8,4,5,1,3,B,False,68
8,5,5,1,4,A,False,100
8,4,2,1,2,A,False,112
9,5,5,2,4,A,False,128
8,4,4,1,5,B,False,22
6,4,4,1,4,A,False,103
7,4,4,1,3,A,False,78
7,4,3,1,2,A,False,136
8,3,4,1,2,B,False,25
9,4,5,4,5,A,False,138
6,2,2,1,2,A,False,149
7,4,4,1,4,A,False,131
6,3,3,1,4,B,False,77
7,3,3,1,3,A,False,145
7,3,4,1,2,B,False,50
9,4,3,2,2,B,False,11
8,3,2,1,2,B,False,58
8,4,5,1,2,B,False,42
5,3,4,1,3,B,False,41
7,4,3,1,2,B,False,15
1,1,2,1,1,B,False,0
8,5,4,1,4,B,False,46
7,3,4,1,4,B,False,38
7,3,4,1,3,A,False,153
7,4,4,1,3,B,False,5
6,3,2,1,1,B,False,16
6,3,4,1,3,A,False,137
7,3,4,1,2,A,False,96
10,4,5,1,3,A,False,90
7,3,4,1,3,B,False,12
5,3,2,1,1,B,False,17
9,3,2,1,3,A,False,135
8,3,3,1,1,B,False,14
8,4,3,1,2,B,False,7
6,3,3,1,2,A,False,134
8,4,4,1,4,A,False,104
6,3,4,1,2,B,False,19
7,3,4,1,2,A,False,101
7,3,3,1,2,A,False,120
6,3,3,1,1,B,False,76
5,2,3,1,3,A,False,97
10,4,4,1,3,B,False,8
7,3,3,1,3,A,False,99
9,4,4,1,3,A,False,113
6,3,3,1,2,A,False,144
10,5,5,2,4,B,False,65
4,3,3,1,2,B,False,30
7,4,3,1,4,B,False,74
6,3,4,1,3,A,False,151
8,4,4,1,4,A,False,133
8,4,5,1,2,B,False,18
7,4,4,1,3,A,False,91
7,3,4,1,3,B,False,20
5,2,3,1,2,A,False,105
8,3,5,1,4,B,False,4
6,3,4,1,3,A,False,141
7,3,4,1,3,A,False,125
8,4,4,1,3,A,False,119
5,3,3,1,3,B,False,43
6,3,3,1,2,A,False,79
6,3,3,1,3,B,False,47
9,4,4,1,4,B,False,29
6,3,3,1,2,B,False,10
7,3,3,1,3,A,False,150
9,4,4,2,4,A,False,98
9,4,4,1,4,A,False,86
6,3,3,1,3,B,False,37
7,4,3,1,2,B,False,13
9,4,5,2,3,A,False,154
3,2,3,1,2,A,False,132
8,4,3,3,2,A,False,127
5,3,2,1,2,B,False,54
4,3,3,1,2,B,False,73
5,3,3,1,3,B,False,66
5,3,3,1,3,B,False,45
7,3,3,1,1,A,False,93
7,3,4,1,2,A,False,85
7,4,5,1,3,B,False,23
6,3,3,1,2,A,False,82
9,4,4,4,4,B,False,40
8,4,5,1,4,B,False,35
8,4,4,1,3,B,False,28
10,5,5,4,5,A,False,87
8,3,4,2,3,A,False,143
8,5,5,1,2,A,False,110
6,2,2,1,1,B,False,71
8,3,4,1,3,A,False,89
8,3,4,1,3,B,False,34
6,3,4,1,3,B,False,57
7,3,4,1,3,A,False,122
6,3,4,2,4,B,False,53
7,3,4,1,2,B,False,52
8,4,4,2,4,B,False,48
8,4,4,1,4,B,False,24
8,4,4,2,4,B,False,55
5,3,3,1,3,A,False,124
9,4,4,1,4,B,False,63
9,4,4,1,3,B,False,70
5,2,2,1,3,A,False,126
8,3,4,1,3,B,False,61
3,2,2,1,2,A,False,139
7,3,4,1,3,B,False,33
7,3,4,1,2,A,False,102
7,4,2,1,3,B,False,72
8,4,4,3,4,A,False,129
7,3,3,1,2,A,False,111
5,3,3,1,2,B,False,56
4,2,3,2,2,B,False,39
5,2,2,1,1,B,False,3
6,3,2,1,2,A,False,107
5,3,1,1,4,B,False,59
5,3,3,1,3,B,False,67
8,4,2,1,3,B,False,6
8,3,3,1,2,B,False,60
8,4,5,1,2,A,False,117
9,5,4,1,4,A,False,80
8,3,5,1,4,A,False,142
6,3,3,1,1,A,False,123
7,3,3,1,4,B,False,49
6,3,3,1,2,B,False,62
6,3,3,1,3,B,False,69
7,3,3,1,3,A,False,147
8,4,4,1,4,B,False,51
7,3,3,3,4,A,False,116
3,2,2,1,1,A,False,114
8,3,5,1,2,A,False,94
5,2,3,1,2,A,False,115
7,3,3,1,3,A,False,88
8,4,5,3,3,B,True,68
8,4,4,5,4,A,True,98
8,3,4,3,4,A,True,104
7,3,4,4,5,A,True,137
7,3,4,2,4,A,True,147
7,3,3,3,3,A,True,95
9,4,4,1,3,A,True,96
7,3,4,2,3,B,True,61
10,5,5,3,5,A,True,81
6,2,3,3,2,A,True,115
10,4,4,4,4,A,True,142
7,3,4,2,3,A,True,102
8,5,5,3,5,A,True,110
7,4,5,1,3,A,True,100
8,4,4,2,3,B,True,42
8,4,5,3,3,B,True,25
10,5,5,5,5,B,True,46
8,4,4,3,3,A,True,118
6,3,4,3,3,B,True,45
4,1,3,4,3,B,True,0
8,4,4,4,4,A,True,113
7,3,4,3,3,B,True,13
8,3,3,2,4,B,True,1
7,3,4,3,2,B,True,7
6,3,3,2,3,B,True,62
5,3,4,3,3,A,True,91
7,3,4,4,4,B,True,4
7,4,4,2,4,B,True,5
7,4,3,4,4,B,True,74
7,3,3,2,3,A,True,152
8,4,5,4,4,B,True,75
10,5,5,5,5,A,True,138
10,5,5,5,5,B,True,64
8,3,4,2,3,A,True,154
7,4,3,4,3,A,True,144
9,4,5,4,4,A,True,129
6,4,2,3,2,B,True,17
5,3,3,2,3,B,True,54
9,4,3,3,4,A,True,112
7,4,5,3,5,B,True,44
10,5,5,5,5,B,True,36
8,3,4,3,4,A,True,148
9,4,5,3,4,A,True,92
