GENESIS-Tabelle: 46251-0021
Personenkraftwagen: Kreise, Stichtag, Kraftstoffarten,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emissionsgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personenkraftwagen (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt
01.01.2022;01001;Flensburg, kreisfreie Stadt;259;1190;1208;7640;5700;6173;3098;1001;540;26809;86;583;1280;2308;4858;4305;1961;631;218;16230;1;36;37;115;31;20;11;8;3;262;-;-;-;-;-;-;-;-;741;741;-;-;-;17;64;128;300;394;-;903;-;-;-;-;8;41;120;357;-;526;-;-;-;8;6;-;-;-;3;17;346;1809;2525;10088;10667;10667;5490;2391;1505;45488
01.01.2022;01002;Kiel, kreisfreie Stadt;752;3486;3333;21027;15633;15567;7459;2531;1301;71089;334;1616;2994;4915;10078;9095;4258;1451;493;35234;10;80;68;280;112;80;49;19;15;713;-;-;-;-;-;-;-;-;1542;1542;-;-;-;30;205;399;729;960;1;2324;-;-;-;-;8;71;256;895;2;1232;-;-;-;6;12;-;-;-;2;20;1096;5182;6395;26258;26048;25212;12751;5856;3356;112154
01.01.2022;01003;Lübeck, kreisfreie Stadt;841;3468;3205;19986;14779;14511;6693;2102;1239;66824;233;1147;2455;4261;8857;7604;3879;1263;428;30127;8;61;76;333;156;65;63;27;11;800;-;-;-;-;-;-;-;-;1171;1171;-;-;-;31;115;321;616;985;-;2068;-;-;-;-;9;57;271;831;-;1168;-;-;-;1;6;1;-;-;1;9;1082;4676;5736;24612;23922;22559;11522;5208;2850;102167
01.01.2022;01004;Neumünster, kreisfreie Stadt;265;1446;1556;8564;5570;5493;2703;876;470;26943;64;474;1276;2162;4399;3672;1471;518;127;14163;2;21;37;134;39;19;49;13;3;317;-;-;-;-;-;-;-;-;694;694;-;-;-;9;55;141;248;404;-;857;-;-;-;-;3;12;102;336;-;453;-;-;-;2;3;1;1;-;1;8;331;1941;2869;10871;10069;9338;4574;2147;1295;43435
01.01.2022;01051;Dithmarschen, Landkreis;531;2771;2496;14916;10354;10151;4770;1433;964;48386;184;1401;3099;5255;10491;8385;2364;767;373;32319;7;53;55;226;79;61;24;6;7;518;-;-;-;-;-;-;-;-;994;994;-;-;-;17;82;189;357;447;-;1092;-;-;-;-;7;31;99;296;-;433;-;-;-;11;4;-;-;-;6;21;722;4225;5650;20425;21017;18817;7614;2949;2344;83763
01.01.2022;01053;Herzogtum Lauenburg, Landkreis;1040;3885;3422;21122;16921;17324;7816;2103;1667;75300;246;1419;3390;5683;13337;11038;3621;1010;448;40192;8;100;98;416;216;85;49;27;36;1035;-;-;-;-;-;-;-;-;1574;1574;-;-;-;47;161;271;586;908;-;1973;-;-;-;-;9;81;274;724;-;1088;-;-;-;3;8;1;-;-;7;19;1294;5404;6910;27271;30652;28800;12346;4772;3732;121181
01.01.2022;01054;Nordfriesland, Landkreis;778;3454;3045;17752;12642;13157;6072;1939;1868;60707;237;2001;4022;6139;13396;10229;3515;976;584;41099;1;79;73;236;93;59;22;14;23;600;-;-;-;-;-;-;-;-;2119;2119;-;1;-;17;97;224;444;663;-;1446;-;-;-;-;6;79;200;588;-;873;-;-;-;6;16;-;-;-;50;72;1016;5535;7140;24150;26250;23748;10253;4180;4644;106916
01.01.2022;01055;Ostholstein, Landkreis;1144;4436;3724;23517;18729;18743;9188;2693;1907;84081;319;1751;3655;5468;13410;11257;3856;1151;491;41358;10;98;92;342;171;98;48;36;6;901;-;-;-;-;-;-;-;-;1503;1503;-;-;-;25;102;231;623;1001;-;1982;-;-;-;-;7;70;254;752;-;1083;-;-;-;5;12;2;-;-;1;20;1473;6285;7471;29357;32431;30401;13969;5633;3908;130928
01.01.2022;01056;Pinneberg, Landkreis;1173;5669;5445;32104;26468;27843;13546;4075;2625;118948;320;1851;4490;7028;16415;14153;5570;1611;585;52023;9;85;121;487;186;129;74;44;8;1143;-;-;-;-;-;-;-;-;2568;2568;-;-;-;53;292;617;1181;2061;1;4205;-;-;-;-;13;129;441;1440;-;2023;-;-;-;8;15;4;-;-;10;37;1502;7605;10056;39680;43389;42875;20812;9231;5797;180947
01.01.2022;01057;Plön, Landkreis;525;2665;2327;14767;11424;11494;5393;1528;1044;51167;211;1343;2718;3845;8781;7208;2346;687;383;27522;4;45;33;183;76;41;19;12;12;425;-;1;-;-;-;-;-;-;1149;1150;-;-;-;14;101;217;343;535;-;1210;-;-;-;-;9;48;155;381;-;593;-;-;-;4;7;-;-;-;2;13;740;4054;5078;18813;20398;19008;8256;3143;2590;82080
01.01.2022;01058;Rendsburg-Eckernförde, Landkreis;1167;5484;4816;29674;22596;22891;10865;3353;2431;103277;388;2767;6065;9657;21806;17150;6235;1843;850;66761;12;134;118;450;212;137;52;27;29;1171;-;-;-;-;-;-;-;-;2613;2613;-;-;-;51;225;508;812;1450;-;3046;-;-;-;-;11;80;303;910;-;1304;-;-;-;8;9;-;-;-;2;19;1567;8385;10999;39840;44859;40766;18267;7583;5925;178191
01.01.2022;01059;Schleswig-Flensburg, Landkreis;870;4176;3811;21858;15232;14859;6954;1965;1826;71551;333;2541;5366;8839;17957;13847;4507;1185;740;55315;12;130;113;379;139;67;37;25;20;922;-;1;-;-;-;-;-;-;1954;1955;-;-;-;22;115;251;550;753;1;1692;-;-;-;-;8;79;209;521;1;818;-;-;-;11;11;1;-;-;8;31;1215;6848;9290;31109;33462;29104;12257;4449;4550;132284
01.01.2022;01060;Segeberg, Landkreis;1136;5146;5051;30051;23785;24766;11629;3435;2304;107303;318;1984;4720;7453;17871;15394;5767;1889;619;56015;13;104;117;475;202;122;66;69;21;1189;-;-;-;-;-;-;-;-;2473;2473;-;-;-;52;231;530;1032;1760;-;3605;-;-;-;-;10;104;448;1310;-;1872;-;-;-;6;15;4;-;-;2;27;1467;7234;9888;38037;42114;40920;18942;8463;5419;172484
01.01.2022;01061;Steinburg, Landkreis;566;2803;2544;14985;10753;10892;5123;1677;1152;50495;182;1211;2633;4581;9643;7672;2421;757;377;29477;4;58;71;241;107;70;23;20;7;601;-;-;-;-;-;-;-;-;977;977;-;-;1;15;81;190;324;532;-;1143;-;-;-;-;1;31;108;370;-;510;1;1;-;2;6;-;-;-;6;16;753;4073;5249;19824;20591;18855;7999;3356;2519;83219
01.01.2022;01062;Stormarn, Landkreis;1387;4851;4202;26066;21442;23081;10915;3864;2715;98523;312;1643;3741;5770;14526;13373;6402;2305;561;48633;11;87;100;388;173;134;56;32;23;1004;-;-;-;-;-;-;-;-;2378;2378;-;-;-;54;243;505;1008;1560;1;3371;-;-;-;-;9;104;394;1506;-;2013;-;-;1;9;13;1;-;-;6;30;1710;6581;8044;32287;36406;37198;18775;9267;5684;155952
01.01.2022;02000;Hamburg, kreisfreie Stadt;7191;25886;23098;131565;103606;112913;60610;35830;16099;516798;1604;7651;17343;28340;61545;61217;35764;22745;3294;239503;62;451;460;1942;900;663;388;161;103;5130;-;1;-;-;-;-;-;-;13077;13078;-;-;-;393;1338;2818;6958;13193;6;24706;-;-;-;-;51;658;3223;10541;8;14481;-;1;1;24;58;9;1;-;57;151;8857;33990;40902;162264;167498;178278;106944;82470;32644;813847
01.01.2022;03101;Braunschweig, kreisfreie Stadt;1102;4401;3105;21165;17962;19192;11195;5560;3583;87265;185;1045;2540;4721;11900;10878;9681;4368;725;46043;11;102;96;464;214;162;71;67;29;1216;-;-;-;-;-;-;-;-;4823;4823;-;-;1;26;144;336;1227;1743;9;3486;-;-;-;-;8;129;339;1640;152;2268;1;-;-;7;6;1;-;-;13;28;1299;5548;5742;26383;30234;30698;22513;13378;9334;145129
